Sayonara Hatsukoi,REDSHiFT,178,1,1.5,205,4,4.5,305,7,7.0,666,8,8.5,728,0,0.0,0
Fairytale,chitose,189,1,1.0,336,3,3.5,511,7,7.0,782,0,0.0,0,9,9.5,932
Vexaria,ak+q,180,2,2.5,369,5,5.0,534,7,7.0,734,0,0.0,0,9,9.0,785
Rise,Combatplayer,140,2,2.5,322,4,4.0,599,7+,7.8,788,0,0.0,0,0,0.0,0
Lucifer,chitose,165,3,3.5,424,5,5.5,506,8,8.2,861,0,0.0,0,0,0.0,0
Snow White,Puru,150,2,2.5,486,5,5.0,672,8,8.4,978,0,0.0,0,9+,9.7,1031
Shades of Light in a Transcendent Realm,ak+q,170,3,3.0,517,6,6.0,789,8,8.3,1067,0,0.0,0,9,9.1,1042
Babaroque,cYsmix,136,3,3.0,402,6,6.5,645,8,8.5,808,0,0.0,0,0,0.0,0
Lost Civilization,Laur vs CK,75-210,4,4.0,462,7,7.0,690,9,9.2,986,0,0.0,0,9+,9.8,1061
GOODTEK (Arcaea Edit),EBIMAYO,190,4,4.0,449,6,6.5,632,9,9.3,968,0,0.0,0,9+,9.8,1103
qualia -ideaesthesia-,nitro,144,4,4.5,550,7,7.0,875,9,9.1,1022,0,0.0,0,9+,9.8,1288
cry of viyella,Laur,75-180,3,3.5,414,6,6.0,492,8+,8.7,791,0,0.0,0,0,0.0,0
I've heard it said,Combatplayer,165,3,3.5,510,6,6.0,664,8,8.1,864,0,0.0,0,0,0.0,0
memoryfactory.lzh,Frums,100,2,2.5,308,5,5.5,448,8+,8.9,672,0,0.0,0,0,0.0,0
Relentless,Akira Complex,174,4,4.5,607,6,6.5,722,8,8.0,1015,0,0.0,0,0,0.0,0
Lumia,sky_delta,180,2,2.5,469,5,5.5,438,8,8.4,961,0,0.0,0,9,9.5,814
Essence of Twilight,ak+q,164,4,4.5,556,7,7.0,767,9,9.1,1204,0,0.0,0,0,0.0,0
PRAGMATISM,Laur,174,4,4.5,476,8,8.6,855,10,10.1,942,0,0.0,0,11,11.2,1502
